parameter, user, system, elpased, timeit diffwl,2.55,0.06,02.61,
wa,4.90,0.09,05.81,
wa,5.03,0.09,05.88,
wa,4.90,0.09,05.78,
wa,4.88,0.08,06.31,
wa,4.92,0.06,05.21,
wa,4.90,0.09,05.76,
wa,4.88,0.07,05.71,
wa,4.82,0.09,05.69,
wa,4.92,0.08,05.78,
wa,4.94,0.08,06.45,
wa,4.93,0.06,05.08,
wa,4.97,0.05,05.77,
wa,4.87,0.10,05.73,
wa,4.88,0.10,05.75,
wa,4.94,0.08,05.77,
wa,4.90,0.08,06.46,
wa,4.92,0.05,04.98,
wa,4.89,0.10,05.89,
wa,4.90,0.11,05.76,
wa,4.94,0.07,05.77,
wa,4.86,0.08,05.65,
wa,4.91,0.09,06.61,
wa,4.83,0.07,04.90,
wa,4.87,0.08,05.73,
wa,4.98,0.07,05.82,
wa,4.99,0.04,05.80,
wa,4.87,0.10,05.75,
wa,4.91,0.07,05.75,
wa,4.93,0.14,05.84,
wa,4.90,0.06,05.72,
wa,4.87,0.08,05.72,
wa,4.86,0.08,05.70,
wa,4.98,0.05,05.82,
wa,4.93,0.08,05.78,
wa,4.92,0.07,05.76,
wa,4.89,0.13,05.80,
wa,4.86,0.08,05.72,
wa,4.92,0.08,05.71,
wa,4.90,0.10,05.78,
wa,4.83,0.08,05.70,
wa,5.06,0.08,05.94,
wa,4.87,0.08,05.70,
wa,4.86,0.09,05.71,
wa,4.91,0.07,05.84,
wa,4.89,0.07,05.71,
wa,4.98,0.06,06.01,
wa,4.99,0.08,05.58,
wa,4.92,0.10,05.78,
wa,4.82,0.10,05.67,
wa,4.88,0.08,05.73,
wa,4.92,0.05,05.74,
wa,5.04,0.08,06.12,
wa,4.92,0.08,05.44,
wa,4.85,0.09,05.69,
wa,4.91,0.11,05.78,
wa,4.83,0.10,05.67,
wa,4.88,0.07,05.71,
wa,4.89,0.08,06.47,
wa,4.90,0.06,04.97,
wa,4.86,0.10,05.71,
wa,4.90,0.11,05.76,
wa,4.92,0.08,05.78,
wa,4.92,0.11,05.80,
wa,4.98,0.09,06.30,
wa,4.92,0.12,05.34,
wa,4.88,0.06,05.70,
wa,4.91,0.10,05.77,
wa,4.86,0.09,05.69,
wa,4.87,0.08,05.72,
wa,4.90,0.08,06.24,
wa,4.89,0.04,05.17,
wa,4.88,0.07,05.68,
wa,5.06,0.07,05.94,
wa,4.84,0.10,05.74,
ra,3.02,0.31,03.35,
ra,3.04,0.29,03.34,
ra,2.98,0.27,03.26,
ra,2.93,0.29,03.23,
ra,2.89,0.35,03.25,
ra,2.97,0.31,03.29,
ra,2.93,0.31,03.25,
ra,2.95,0.26,03.23,
ra,2.94,0.27,03.23,
ra,2.93,0.30,03.24,
ra,2.98,0.25,03.24,
ra,2.88,0.34,03.23,
ra,2.96,0.30,03.27,
ra,3.04,0.30,03.35,
ra,2.95,0.28,03.24,
ra,2.91,0.30,03.22,
ra,2.94,0.28,03.23,
ra,2.94,0.30,03.26,
ra,2.95,0.29,03.25,
ra,2.93,0.30,03.24,
ra,2.95,0.28,03.24,
ra,2.97,0.31,03.29,
ra,2.97,0.27,03.24,
ra,2.91,0.34,03.26,
ra,2.96,0.30,03.27,
ra,3.02,0.30,03.33,
ra,3.04,0.26,03.31,
ra,2.93,0.29,03.23,
ra,3.04,0.30,03.35,
ra,2.96,0.29,03.26,
ra,3.04,0.37,03.42,
ra,2.97,0.27,03.25,
ra,2.96,0.28,03.26,
ra,2.95,0.28,03.24,
ra,2.86,0.37,03.24,
ra,2.89,0.35,03.25,
ra,2.94,0.31,03.26,
ra,2.92,0.30,03.23,
ra,2.89,0.34,03.24,
ra,2.96,0.28,03.25,
ra,2.89,0.33,03.24,
ra,2.91,0.32,03.23,
ra,2.99,0.28,03.29,
ra,2.87,0.36,03.23,
ra,2.88,0.36,03.25,
ra,2.92,0.30,03.23,
ra,2.98,0.32,03.32,
ra,2.96,0.28,03.25,
ra,3.08,0.25,03.34,
ra,2.96,0.28,03.25,
ra,3.00,0.29,03.31,
ra,2.91,0.35,03.27,
ra,2.92,0.31,03.23,
ra,2.91,0.32,03.24,
ra,2.98,0.26,03.25,
ra,2.95,0.31,03.27,
ra,2.90,0.31,03.22,
ra,3.00,0.27,03.29,
ra,2.90,0.34,03.25,
ra,3.04,0.23,03.28,
ra,2.96,0.30,03.28,
ra,2.94,0.33,03.28,
ra,3.07,0.26,03.35,
ra,2.86,0.38,03.24,
ra,2.96,0.29,03.26,
ra,2.94,0.28,03.23,
ra,2.94,0.30,03.25,
ra,3.00,0.32,03.33,
ra,2.95,0.32,03.29,
ra,3.00,0.30,03.32,
ra,2.90,0.34,03.25,
ra,2.91,0.36,03.28,
ra,3.08,0.29,03.38,
ra,3.03,0.32,03.37,
ra,2.96,0.27,03.25,
ra,2.95,0.28,03.25,
ra,2.91,0.34,03.26,
ra,2.96,0.28,03.25,
ra,2.94,0.29,03.24,
ra,2.92,0.31,03.24,
ra,3.03,0.29,03.33,
ra,2.97,0.29,03.27,
ra,2.97,0.26,03.24,
ra,2.89,0.33,03.23,
ra,2.96,0.28,03.26,
ra,2.94,0.32,03.27,
ra,3.06,0.28,03.35,
ra,3.03,0.30,03.34,
ra,3.04,0.30,03.35,
ra,3.07,0.24,03.32,
ra,2.94,0.29,03.25,
ra,2.93,0.29,03.23,
ra,2.98,0.28,03.27,
ra,3.04,0.28,03.34,
ra,2.92,0.32,03.25,
ra,2.96,0.30,03.27,
ra,2.91,0.33,03.25,
ra,2.93,0.31,03.25,
ra,2.98,0.33,03.32,
ra,2.98,0.36,03.36,
