parameter, user, system, elpased, timeit diffwl,2.55,0.06,02.61,
wa,4.85,0.10,05.73,
wa,4.97,0.08,05.83,
wa,4.97,0.08,05.81,
wa,4.96,0.08,06.09,
wa,4.92,0.07,05.41,
wa,4.94,0.09,05.77,
wa,4.82,0.11,05.71,
wa,4.92,0.07,05.74,
wa,5.04,0.06,05.86,
wa,4.89,0.09,06.16,
wa,4.98,0.08,05.46,
wa,4.89,0.10,05.76,
wa,4.84,0.09,05.73,
wa,4.92,0.08,05.74,
wa,4.85,0.11,05.71,
wa,4.87,0.09,06.24,
wa,4.86,0.09,05.27,
wa,5.00,0.08,05.81,
wa,4.89,0.08,05.75,
wa,4.85,0.07,05.64,
wa,4.88,0.09,05.74,
wa,5.00,0.06,06.37,
wa,4.87,0.06,05.16,
wa,4.90,0.07,05.71,
